785,972,457,791,974,  2036, 15828,  2536,   126,  -571,   587
778,976,435,747,973,  2988, 15876,  2832,  -641,   642,   174
752,978,374,734,970,  2388, 16092,  3300,  -889,   478,  -196
752,976,364,715,970,  2264, 16084,  3684,  -468,     7,     7
757,970,359,755,974,  2732, 16268,  3396,  -221,  -837,   172
751,968,410,726,974,  2232, 16020,  3304,  -399,  -920,    90
759,966,492,750,973,  2692, 16100,  3276,  -318,  -209,   151
751,964,348,750,974,  2468, 16112,  3268,  -601,    36,   -18
767,967,412,750,972,  2244, 16224,  3396,  -943,  -184,  -145
767,962,430,780,971,  2340, 16064,  3596,   -88,   287,   -11
757,968,407,791,970,  2336, 16288,  3212,  -482,   258,  -149
768,967,472,772,970,  2396, 16208,  3412,   -84,   563,    -7
770,966,344,702,970,  2412, 16320,  3028,  -552,   444,   -17
772,969,357,714,970,  1848, 15972,  3860,  -756,    -6,  -142
769,970,407,821,969,  2872, 16176,  3216,  -187,  -261,   169
774,967,417,847,973,  1936, 15796,  3892, -1014,  -861,  -316
774,971,445,850,976,  2228, 16164,  3360,     6,  -250,   451
772,961,382,880,976,  2088, 16176,  3624,  -808,  -296,   -23
782,962,392,845,976,  2160, 15912,  3320,  -290,    55,   146
778,964,437,915,976,  1928, 16240,  3648, -1126,  -160,  -167
778,966,426,840,974,  2524, 16072,  3508,   -50,   437,   286
780,964,451,850,972,  2432, 16264,  3332,  -271,   225,    69
781,964,435,872,970,  2544, 16168,  3284,   -38,   182,    11
788,948,421,877,972,  2816, 16136,  3000,  -491,     5,  -163
783,946,450,787,951,  1712, 15680,  3936, -2388, -1066, -1587
758,937,407,757,948,  1432, 16156,  3832,  -124,   -48,   291
764,940,444,664,952,  1776, 16188,  3724,  -829,  -228,  -296
759,952,456,814,952,  2144, 15964,  3568,  -356,   230,  -153
759,953,457,623,955,  1528, 16260,  4020, -1124,   213,  -211
751,956,461,721,959,  1800, 16128,  4372, -1325,   252,  -496
760,965,463,680,951,  1784, 15540,  4404, -1397,   333, -1029
718,962,476,661,948,   816, 16064,  4548,   114,  -162,  -376
724,962,450,731,954,  1220, 16264,  3300,   105,   525,   135
723,965,465,731,959,   900, 16032,  4172,  -852,   668,  -155
723,952,494,780,968,  6608, 15592,  3696,   633,  9729, -2324
717,959,400,790,963, -5604, 16420,  3332,  -286,  9532,  -827
725,959,395,783,970,  3636, 15896,  4908,   788,  6783,  -803
708,956,414,816,969,  2352, 15780,   684,  2943, 32767, -2166
729,959,391,775,970, -3216, 15984,   124,  3731, 21838,  -510
710,956,487,781,974, -2528, 16228, -1176,  1919,  9032,  -663
704,966,395,881,971, -1104, 15884,  -624,    38,  1323,  -171
706,966,416,880,973,   -40, 15944,  -272,  -817,  -746,    44
734,962,429,910,974, -2276, 16148, -1000, -1322, -8462,   991
727,967,401,882,977,   276, 15992,   820, -2308, -5904,  1067
732,966,369,891,977,  -784, 15860,   780,  -739, -8442,  1214
732,964,405,895,977, -1708, 16132,  -204, -1980,-20085,  3376
719,950,407,776,968,  -460, 16268,  -196, -3349,-25830,  3489
735,945,405,817,970,  4208, 15700,  2232, -3322,-22647,  3744
620,936,517,821,964,  2820, 15916,  3308, -1885,-10014,  2168
705,932,497,884,910,  2184, 15708,  2948,  -478, -5552,   617
773,896,368,898,887,  1080, 16148,  2368,  -935, -1928,   789
784,908,522,0,695,  2188, 15912,  3296, -3202,  -693,  -297
825,946,545,248,0,  1648, 16172,  3440, -4472, -2996,  -768
850,970,528,535,928,  1596, 15860,  4024, -1558,  1518,   941
838,981,526,815,1002,   924, 16044,  4288,  1116,  1698,  1116
862,990,536,787,1001,  1868, 15796,  3760,  -118,  3047, -1302
894,989,540,819,953,  1900, 16168,  3668,  -550,   589,  -929
901,978,545,788,941,  1988, 15980,  3424,  -159,  1945,  -444
897,955,546,774,957,  2020, 16136,  3496,   272,  1071,  -251
896,968,545,772,968,  1656, 16500,  3516,   192,   975,    99
892,974,542,683,980,  2696, 16280,  3820,  -781,  2118,  -237
888,975,505,760,985,  3484, 15840,  3628,  -550,  2466,  -558
882,968,498,807,984,  2364, 15952,  4140, -1897,  -813,  -713
859,965,517,847,983,  1292, 16028,  4920, -2431, -1546,  -257
849,948,506,655,980,   844, 16112,  5024,    86,  1546,    62
675,930,553,609,977,  1872, 15424,  4608,  -768,  2096,  -565
692,958,532,601,968,  -116, 16004,  4220,  1381,  5664,  -531
741,970,537,757,980,   268, 15980,  3208,    34,  2078,   -31
692,964,524,567,982,  1244, 16144,  3944, -1186, -4666,  1072
789,969,527,654,985,  2696, 16160,  4080,  -264, -3530,  1043
769,961,517,624,987,  1888, 16816,  2816,  -636, -3599,   344
766,955,518,618,991,   784, 16088,  4488, -1120,  -376,  -620
722,955,524,608,988,  2040, 16104,  3728,   540,  1610,   140
632,955,493,569,989,  3012, 16188,  4360,  -787,   705,  -371
673,947,456,883,991,  2460, 15960,  4056,   176,  -577,   227
733,948,469,893,991,  2016, 16364,  3460,  -730, -1113,  -265
718,952,479,878,987,  1384, 16156,  4236,    38, -1545,   609
686,946,467,809,983,  1448, 16420,  3320,    29,  -410,   224
688,954,536,846,982,  1304, 16216,  3792,  -431,   452,  -190
740,956,552,810,979,  2952, 16224,  3364,   612,  6932,  -911
621,951,511,852,976,    40, 16204,  3828,  -418,  1714,   152
682,957,517,841,974,  1916, 16184,  3428,   251,   946,   -53
700,963,515,836,974,  1284, 16356,  3360, -1055,  -777,  -269
630,966,524,854,973,  1320, 16176,  3564,  -468,  -140,   338
381,962,514,832,979,  1492, 16168,  3692, -1111,   206,  -228
532,955,546,904,968,  1200, 15980,  4544,  -762,   575,  -315
468,949,536,915,958,  1944, 16280,  3464,  -629, -1272,  -138
482,947,538,874,951,   828, 16160,  3740,  -706, -1857,   122
562,951,537,834,956,  1176, 16112,  3568,   -65,  -511,   426
610,948,532,847,955,  1020, 15904,  3844,  -781,   249,  -222
646,946,539,832,925,  2152, 15780,  3760,    14,  -231,   130
602,954,534,844,940,  1436, 16224,  3556,  -973,    63,  -300
699,943,526,855,947,   920, 15700,  4244,  -105,  2633,   193
498,941,441,820,898,  2456, 16368,  3092,    90,   515,  -119
515,935,477,811,819,   980, 16440,  3620, -1425, -2451,  -412
380,929,472,881,773,  1684, 16080,  3684,  -491,   106,   262
422,934,474,866,722,  2300, 15724,  4492,  -561, -3875,   763
0,893,395,850,760,  3180, 16436,  3528,  3423,  1559,   484
0,896,391,819,756,  2360, 16684,  2368,   -59, -3463,   224
6,903,387,875,713,  1064, 16332,  2064,  -278, -2538,   500
6,883,410,873,563,   660, 16300,  2496, -1029, -1593,   616
0,865,397,835,740,  2984, 15772,  3080,  2859,  4036,  1809
6,844,336,864,735,   904, 16456,  1556,  -944, -4227,  1692
9,839,327,887,818,   684, 15972,  2404,  -230,   224,  -188
4,833,335,849,818,  2552, 16336,  1168,  -182,   571,  -325
6,835,410,871,819,   912, 16308,  1848, -1012,  2161,  -202
0,833,451,858,818,  2664, 16108,  2720,  -828,   476,   187
1,867,451,851,774,  2488, 16092,  3032,  -397,  -430,  -359
5,872,529,840,861,  3256, 16020,  3440,   723,  -753,  -909
2,809,292,865,879,  1872, 16212,  1704,   968, -2321,  -961
5,798,366,877,883,  1104, 16328,   584,   -70,  -919,  -157
0,804,350,882,942,  1744, 16120,  1716, -1143,   660,   473
1,817,417,843,943,  1964, 16072,  2196,  -995,   670,   -26
0,806,425,868,915,  1720, 16364,  2268,  -572,   474,  -152
0,808,423,832,779,  1952, 16436,  2028,  -375,   882,  -167
2,779,435,831,814,  2060, 16068,  2084,  -770,  -301,   602
0,784,459,821,788,  2280, 16144,  2044,  -487,  -423,   267
2,853,483,844,798,  1576, 15968,  2044,  -757,   146,   188
1,847,499,856,788,  1664, 16108,  2284,  -207,  -177,   -37
0,849,500,841,791,  2096, 16116,  1904,  -182,  -137,   -35
0,840,497,824,790,  1892, 16064,  1912,  -502,  -235,  -127
2,851,512,830,796,  1708, 16088,  1896,  -498,   -54,   230
0,848,524,879,854,  2028, 16304,  1948,  -581, -1002,   -34
1,851,536,881,894,  1476, 16116,  1744,   -85,  -653,  -141
0,846,534,837,797,  2040, 16092,  1688,  -678,   254,   173
0,848,535,835,802,  2072, 16108,  2348,  -407,  -181,  -127
4,854,538,834,791,  1804, 16116,  1712,  -250,   -33,  -220
5,851,542,826,810,  1872, 16272,  1568,  -606,   268,    58
0,841,528,846,810,  1820, 15968,  2400,  -456,   -95,  -200
0,851,539,856,812,  1820, 16216,  1700,  -429,  -268,  -110
