635,1007,6,872,0,  4476, 15732,  3816,  -516,   -21,  -245
639,1007,4,869,0,  4208, 15764,  4260,  -609,   289,  -233
621,1008,0,872,0,  4236, 15800,  4420,  -367,   117,   -97
641,1007,0,874,0,  4132, 15628,  4224,  -338,  -309,   135
642,1007,0,870,0,  4236, 15500,  4240,  -459,  -234,     7
655,1008,0,871,0,  4064, 15804,  4192,  -334,   -23,  -164
657,1007,0,872,0,  4236, 15524,  4100,  -223,   153,   -83
649,1008,0,873,0,  4692, 15356,  4092,  -636,    46,    98
623,1008,0,869,0,  4364, 15624,  4352,  -546,    60,    46
607,1008,0,868,0,  4420, 15536,  4412,  -558,  -273,   178
603,1008,0,869,0,  4108, 15776,  4116,  -356,  -237,    60
578,1007,0,866,0,  4208, 15828,  4032,  -326,    45,   -87
588,1007,1,861,0,  4428, 15700,  4260,  -427,   250,    28
659,1008,0,861,0,  4424, 15748,  4292,  -158,   161,    46
666,1007,7,845,0,  4372, 15672,  4060,   -36,   317,    26
583,1008,0,859,0,  4780, 15812,  4028,   -44,   -19,   -48
625,1007,0,853,0,  4892, 15616,  3832,  -351,    13,   -16
634,1007,0,850,0,  4880, 15712,  4200,  -149,    96,   -81
648,1007,6,849,0,  4568, 15624,  4024,  -336,    90,   -89
648,1006,0,859,0,  4388, 15780,  3972,  -383,    40,   -10
659,1006,0,814,0,  4516, 15732,  4092,  -392,   281,   -43
598,1006,0,800,0,  4344, 16020,  4140,  -448,    68,  -126
527,1006,0,835,0,  4316, 15736,  4116,  -440,   267,   -69
545,1006,0,793,0,  4300, 15660,  4160,  -275,   341,  -201
0,1006,0,800,0,  4616, 15464,  4120,  -386,  -103,  -137
0,1005,0,781,0,  4164, 15388,  4456,  -553,  -178,    -8
0,1005,0,777,0,  4352, 15380,  4052,  -705,  -428,    -8
0,1005,7,682,0,  4340, 15592,  4164,  -638,  -261,    16
0,1006,0,737,0,  4136, 15576,  4324,  -515,  -121,    33
0,1005,0,739,0,  4340, 15840,  4188,  -536,  -130,    17
0,1006,0,724,0,  4320, 15672,  4296,  -582,    42,  -123
0,1005,0,752,0,  4484, 15608,  4284,   -91,  -106,    20
0,1005,0,813,0,  4480, 15780,  4124,  -210,   169,   -70
0,1005,0,844,0,  4556, 15936,  4068,  -299,  -169,    81
0,1007,0,855,0,  4312, 15780,  4184,  -276,  -197,    54
0,1007,0,793,0,  4580, 15700,  3844,  -330,  -125,    51
485,1008,2,782,0,  4492, 15408,  4040,  -606,  -113,   104
511,1008,0,826,0,  4252, 15736,  3884,  -808,  -315,   -72
612,1008,0,833,0,  4172, 15572,  3976,  -267,    54,    29
565,1008,2,819,0,  4064, 15552,  3952,  -782,  -278,    78
521,1008,0,842,0,  4412, 15728,  3904,  -589,  -283,   -22
505,1008,0,851,0,  4248, 15564,  3988,  -501,   -52,    89
560,1008,0,847,0,  4476, 15484,  3956,  -500,  -187,   -50
464,1008,0,839,0,  4404, 15572,  3924,  -605,  -274,    36
426,1007,0,822,0,  4576, 15432,  4124,  -399,  -462,    76
480,1008,0,821,0,  4584, 15388,  3948,  -496,  -450,    63
0,1007,0,795,0,  4416, 15744,  3964,  -528,  -348,   -86
0,1007,0,758,0,  4336, 15776,  3840,  -638,   -59,  -112
0,1007,0,762,0,  4280, 15688,  4108,  -392,   -31,   -41
0,1008,2,765,0,  4472, 15800,  3916,  -423,   -33,    50
0,1007,0,761,0,  4388, 15772,  3992,  -486,   242,  -159
0,1007,0,760,0,  4408, 15536,  4024,  -514,    86,     6
0,1007,0,758,0,  4544, 15660,  3992,  -425,   -15,   -67
0,1007,0,807,0,  4472, 15720,  4008,  -444,  -141,    -9
0,1006,0,779,0,  4432, 15636,  3988,  -483,  -362,   -23
