521,571,906,0,743,  1520, 10884, -9704,  -900,  -694,  -137
546,599,911,0,739,  1228, 11280, -9484,  -160,  1272,  -510
534,599,911,0,722,  1344, 10924, -9828,  -555,   413,  -210
528,614,912,0,736,  1672, 10844, -9468,  -411,   351,  -286
533,594,912,0,706,  1848, 10960, -9536,  -471,  -624,    78
526,605,913,0,698,  1164, 11064, -9632,  -776,  -618,    90
531,557,917,0,703,   932, 11080, -9812,  -378,  -154,    80
529,590,919,0,683,   904, 10936, -9680,  -157,   110,   131
527,604,921,0,704,  1472, 10720, -9724,  -110,    38,    85
535,625,919,0,719,  1472, 10756, -9788,  -624,   -88,    27
518,615,919,0,692,  1108, 10892, -9620,  -706,  -605,   114
518,622,906,0,676,  1080, 10784, -9632,  -418,     4,    45
525,610,904,0,660,  1136, 10860, -9664,  -418,  -128,    39
536,596,913,0,687,  1384, 10840, -9784,  -281,  -102,    33
512,605,914,0,676,  1296, 10784, -9608,  -389,  -189,    32
502,585,914,0,687,  1264, 10968, -9872,  -455,  -258,    67
493,581,907,0,692,   764, 10956, -9868,  -497,  -387,   175
490,587,905,0,683,   784, 10952, -9836,  -470,  -178,     0
491,589,906,0,666,   752, 10872, -9896,  -436,   -11,  -156
490,554,911,0,709,   928, 10752, -9764,  -419,  -239,   115
488,592,921,0,719,  1072, 10848, -9516,  -528,  -199,   109
490,576,919,0,715,  1192, 10860, -9968,  -266,  -115,   -15
499,622,918,0,718,   996, 10848, -9736,  -596,  -350,   123
501,625,917,0,740,   956, 10908, -9652,  -566,  -421,   165
498,625,915,0,744,   808, 10752, -9904,  -328,  -129,    -3
504,615,913,1,739,   636, 10728, -9896,  -594,  -392,   283
512,623,926,0,722,   824, 10808, -9964,  -417,  -329,   -98
498,616,927,0,712,  1124, 10828, -9756,  -549,   -21,  -158
498,600,925,0,691,  1136, 10800, -9540,  -509,   117,  -217
498,610,927,0,680,  1080, 10948, -9820,  -504,   309,   -87
499,601,920,0,678,  1172, 10840, -9708,  -353,   212,   -30
481,600,920,0,675,  1316, 10844, -9528,    -7,   216,   133
479,615,925,0,675,   712, 10776, -9892,  -476,    16,   186
486,616,931,0,654,  1248, 10852, -9764,  -624,  -375,   413
486,600,931,0,663,  1852, 10840, -9608,  -354,   -35,   -83
474,589,931,0,651,  1404, 10872, -9808,  -564,   -81,  -211
486,591,930,0,643,  1448, 10912, -9792,  -442,    79,  -122
488,592,927,0,647,  1440, 10780, -9708,  -536,   196,    57
498,588,920,0,636,  1644, 10808, -9528,  -499,   146,    22
477,594,907,0,643,  1604, 11004, -9572,  -367,   -31,   -84
336,574,930,0,602,  1388, 10780,-10144,  -369,   -35,   -79
365,537,932,0,622,  1576, 10820, -9524,  -704,   -74,   -40
478,575,930,0,624,  1356, 10872, -9460,  -367,    67,   -28
480,543,929,0,619,  1416, 10960, -9920,  -373,   101,    35
437,557,926,0,624,  1356, 10944, -9300,  -778, -1611,   749
412,531,909,0,626,  1120, 11064,-10064,  -413,  -215,    26
424,533,907,0,628,  1180, 10880, -9704,  -548,   -39,  -188
398,560,927,0,630,  1152, 10864, -9488,  -579,  -468,    82
432,565,930,0,626,  1312, 10868, -9548,  -544,  -388,    58
434,576,927,0,633,  1104, 11088, -9756,  -542,  -106,   -14
440,583,924,0,651,  1180, 10988, -9608,  -413,    79,    86
420,575,922,0,636,  1372, 10840, -9776,  -447,   -78,    -7
361,587,908,0,636,  1188, 10876, -9548,  -514,   -61,  -232
448,601,906,0,650,   952, 10812, -9500,  -478,  -100,   -39
371,592,930,0,645,  1276, 10716, -9440,  -303,   -50,   178
404,574,929,0,638,  1464, 10920, -9552,  -524,  -165,   141
299,607,924,0,640,  1536, 10908, -9404,  -376,    23,  -169
415,604,920,0,639,  1668, 11000, -9744,  -465,    62,   -69
259,596,905,0,651,  1636, 10916, -9480,  -443,  -132,    30
298,575,898,0,662,  1628, 10980, -9632,  -515,  -348,   101
306,536,875,0,666,  1424, 10872, -9280,  -420,  -348,   169
353,575,920,0,663,  1456, 10908, -9696,  -395,  -291,   155
323,574,919,0,655,  1320, 10884, -9312,  -408,  -401,    67
410,573,904,0,659,  1204, 10888, -9940,  -496,  -195,    78
337,567,904,0,653,  1372, 11060, -9564,  -586,  -107,   299
327,567,905,0,637,  1508, 10764, -9540,  -342,   328,    26
397,589,881,0,634,  1456, 10872, -9640,  -591,   -51,    13
273,620,904,0,626,  1300, 10872, -9868,  -593,   426,  -105
250,588,919,0,614,  1612, 10968, -9320,  -735,   464,   -79
260,682,907,0,633,  1444, 11048, -9452,  -376,   260,   -12
248,686,904,0,618,  1792, 11012, -9592,  -341,   378,   100
262,686,893,0,627,  1896, 10940, -9592,  -405,   -48,  -180
231,689,894,0,658,  1596, 11020, -9380,  -521,  -269,   -98
254,689,901,0,650,  1356, 11040, -9452,  -379,  -354,    52
242,693,915,0,646,  1500, 10960, -9608,  -446,  -155,    98
236,695,915,0,622,  1552, 10984, -9500,  -400,   -27,   -73
246,695,915,0,642,  1332, 11112, -9648,  -336,    22,   -64
278,694,914,0,654,  1612, 11040, -9468,  -434,  -259,   149
324,693,915,0,658,  1476, 11036, -9452,  -472,  -144,    18
304,688,901,0,645,  1512, 11052, -9376,  -526,  -149,  -131
309,681,901,0,656,  1204, 10936, -9480,  -321,   -61,   -81
301,678,918,0,655,  1132, 11036, -9780,  -477,   -31,   -43
320,671,914,0,649,  1220, 11088, -9440,  -291,   139,  -164
314,692,916,0,647,   924, 10980, -9716,  -408,   333,  -298
318,698,910,0,627,  1156, 11076, -9480,  -475,   224,   -73
317,699,904,0,627,  1404, 11060, -9556,  -494,   191,     1
305,699,898,0,638,  1256, 11172, -9748,  -446,   238,  -183
305,702,918,0,649,  1436, 11144, -9568,  -340,   327,  -200
314,703,919,0,644,  1336, 11088, -9532,  -634,   107,  -231
317,703,917,0,658,  1144, 11016, -9280,  -526,    16,  -150
307,702,916,0,653,  1216, 11228, -9432,  -534,    11,    51
322,702,908,0,643,  1592, 11040, -9320,  -473,    60,    70
324,702,899,0,632,  1532, 10944, -9372,  -457,    61,   -62
326,702,917,0,643,  1448, 11052, -9232,  -509,  -114,    52
366,702,924,0,656,  1388, 11196, -9576,  -387,    -9,    15
327,701,924,0,648,  1636, 11172, -9392,  -385,   177,   -95
342,701,920,0,647,  1436, 11036, -9304,  -339,    28,   -45
321,701,919,0,652,  1264, 11152, -9532,  -499,   -17,    15
329,701,913,0,639,  1440, 11128, -9496,  -249,   156,  -109
327,701,910,0,621,  1540, 11324, -9440,  -420,   157,  -164
342,700,925,0,650,  1432, 10992, -9264,  -448,   -32,    89
343,699,926,0,644,  1584, 11052, -9264,  -486,  -308,   152
